Zone;Type;Année;Prix_m2_moyen;Prix_moyen;Nb_transactions
Hérault;Département;2020;3974.0;305566.0;74379
Hérault;Département;2021;3962.0;555321.0;96443
Hérault;Département;2022;4410.0;499948.0;96743
Hérault;Département;2023;4374.0;386902.0;77496
Hérault;Département;2024;4253.0;647458.0;69038
Essonne;Département;2020;4293.0;861296.0;44681
Essonne;Département;2021;4649.0;811605.0;57822
Essonne;Département;2022;4756.0;778180.0;58623
Essonne;Département;2023;4870.0;941532.0;47691
Essonne;Département;2024;4358.0;1466189.0;40847
Rhône;Département;2020;5776.0;1553281.0;84316
Rhône;Département;2021;5994.0;619311.0;108475
Rhône;Département;2022;6395.0;794561.0;107491
Rhône;Département;2023;5998.0;864249.0;83198
Rhône;Département;2024;5891.0;660256.0;74316
