Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3500;2024;L3500;;;;;;;;;;8,8;10,1;11,6;13,8;17,4;11,3;420;500;595;740;936;650;57;16763;60909;Estimation directe
B3500;2024;L3500;;;;;;;;;Maison 1-3P;7,8;8,9;10,4;12,9;16,1;10,7;480;505;600;750;960;653;61;130;1412;Estimation directe
B3500;2024;L3500;;;;;;;;;Ensemble 4P+;7,4;8,5;9,6;11,0;12,8;9,8;665;770;869;1066;1300;954;97;2065;13602;Estimation directe
B3500;2024;L3500;;;;;;;;;Maison 4P+;6,9;8,0;9,3;10,9;12,3;9,3;733;825;994;1177;1400;1030;110;704;6113;Estimation directe
B3500;2024;L3500;;;;;;;;;Appart 1P;12,7;14,1;16,8;20,1;23,5;16,7;342;385;425;475;520;428;26;3190;10072;Estimation directe
B3500;2024;L3500;;;;;;;;;Appart 2P;10,3;11,3;12,5;13,8;16,2;12,6;450;493;537;588;650;546;43;6474;19920;Estimation directe
B3500;2024;L3500;;;;;;;;;Appart 3P;8,9;9,7;10,6;11,6;13,0;10,8;550;606;670;732;803;678;63;4904;15903;Estimation directe
B3500;2024;L3500;;;;;;;;;Appart 4P+;8,1;9,0;10,0;11,2;13,2;10,3;652;743;819;969;1217;892;86;1361;7489;Estimation directe
B3500;2024;L3500;;;;;;;;;Ensemble 1P;12,5;14,1;16,8;20,0;23,5;16,6;342;385;425;474;520;428;26;3201;10149;Estimation directe
B3500;2024;L3500;;;;;;;;;Ensemble 2P;10,2;11,3;12,5;13,8;16,2;12,6;450;492;537;588;650;547;43;6514;20280;Estimation directe
B3500;2024;L3500;;;;;;;;;Ensemble 3P;8,8;9,6;10,6;11,6;13,2;10,7;550;605;672;733;810;680;63;4983;16877;Estimation directe
