Data_year,Type_habitat,loyer_median,loyer_moyen,loyer_mensuel_median,surface_moyenne,nombre_observations,Ville
2024.0,,"26,6","25,5",1100.0,50.0,3686.0,Paris
2024.0,,,,,,,Paris
2024.0,,,,,,,Paris
2024.0,,"30,2","29,5",754.0,26.0,993.0,Paris
2024.0,,"26,5","26,1",1086.0,43.0,1327.0,Paris
2024.0,,"24,2","24,1",1519.0,65.0,799.0,Paris
2024.0,,"24,1","23,9",2253.0,102.0,544.0,Paris
2024.0,,"30,2","29,5",754.0,26.0,993.0,Paris
2024.0,,"26,5","26,1",1086.0,43.0,1330.0,Paris
2024.0,,"24,2","24,1",1519.0,65.0,803.0,Paris
2024.0,,"24,2",24,2266.0,103.0,560.0,Paris
2024.0,,,,,,,Paris
2024.0,,"30,2","29,5",754.0,26.0,993.0,Paris
2024.0,,"26,5","26,1",1086.0,43.0,1327.0,Paris
2024.0,,"24,2","24,1",1519.0,65.0,799.0,Paris
2024.0,,"24,1","23,9",2253.0,102.0,544.0,Paris
2024.0,,"30,2","29,5",754.0,26.0,993.0,Paris
2024.0,,"26,5","26,1",1086.0,43.0,1330.0,Paris
2024.0,,"24,2","24,1",1519.0,65.0,803.0,Paris
2024.0,,"24,2",24,2266.0,103.0,560.0,Paris
2024.0,,"27,5","27,2",1048.0,45.0,445.0,Paris
2024.0,,"31,9","31,4",764.0,24.0,125.0,Paris
2024.0,,"26,7","26,7",1090.0,40.0,161.0,Paris
2024.0,,25,"25,3",1500.0,62.0,92.0,Paris
2024.0,,"25,9","26,6",2400.0,104.0,67.0,Paris
2024.0,,"26,2","25,2",1118.0,51.0,3241.0,Paris
2024.0,,"27,5","27,2",1048.0,45.0,445.0,Paris
2024.0,,"31,9","31,4",764.0,24.0,125.0,Paris
2024.0,,"26,7","26,7",1090.0,40.0,161.0,Paris
2024.0,,25,"25,3",1500.0,62.0,92.0,Paris
2024.0,,"25,9","26,6",2400.0,104.0,67.0,Paris
2024.0,,"26,2","25,2",1118.0,51.0,3241.0,Paris
2024.0,,"27,5","26,3",1057.0,50.0,1992.0,Paris
2024.0,,"32,4","31,8",716.0,23.0,433.0,Paris
2024.0,,"26,7","26,9",1024.0,40.0,771.0,Paris
2024.0,,"25,2",25,1530.0,63.0,460.0,Paris
2024.0,,"24,9","24,7",2559.0,111.0,328.0,Paris
2024.0,,26,"24,9",1099.0,48.0,698.0,Paris
2024.0,,"28,4","28,2",771.0,27.0,231.0,Paris
2024.0,,"26,1","25,6",1150.0,45.0,249.0,Paris
2024.0,,"23,4","23,6",1486.0,66.0,134.0,Paris
2024.0,,"23,1","22,6",2225.0,95.0,84.0,Paris
2024.0,,"25,5","24,6",1125.0,50.0,717.0,Paris
2024.0,,"28,8","27,8",773.0,28.0,254.0,Paris
2024.0,,"25,2","24,7",1155.0,47.0,215.0,Paris
2024.0,,"23,2","22,9",1483.0,68.0,146.0,Paris
2024.0,,"23,5","23,7",2095.0,92.0,102.0,Paris
2024.0,,,,,,,Paris
