Ville;Type_bien;loyer_median;loyer_mensuel_median;surface_moyenne;nombre_observations;prix_achat_median;surface_median;loyer_annuel;rendement_%
Grenoble;Maison;10,5;1000.0;103.0;610.0;146237.50000000003;59.0;12000.0;8.205829558081886
Grenoble;Maison;11,0;600.0;60.0;170.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Maison;10,4;1198.0;118.0;440.0;146237.5;59.0;14376.0;9.830583810582102
Grenoble;Maison;10,8;1066.0;104.0;173.0;146237.5;59.0;12792.0;8.747414308915292
Grenoble;Maison;10,8;1200.0;120.0;124.0;146237.49999999997;59.0;14400.0;9.846995469698266
Grenoble;Maison;10,4;950.0;102.0;437.0;146237.5;59.0;11400.0;7.795538080177793
Grenoble;Maison;11,4;610.0;60.0;121.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Maison;10,1;1150.0;118.0;316.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Maison;10,0;741.0;90.0;161.0;146237.5;59.0;8892.0;6.080519702538679
Grenoble;Maison;10,5;600.0;61.0;80.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Maison;9,4;960.0;116.0;81.0;146237.5;59.0;11520.0;7.877596375758612
Grenoble;Maison;10,3;700.0;91.0;52.0;146237.5;59.0;8400.0;5.744080690657321
Grenoble;Maison;10,0;784.0;90.0;109.0;146237.49999999997;59.0;9408.0;6.433370373536201
Grenoble;Maison;9,8;989.0;105.0;131.0;146237.5;59.0;11868.0;8.115565432942986
Grenoble;Maison;10,0;1149.0;120.0;87.0;146237.5;59.0;13788.0;9.428498162236089
Grenoble;Maison;9,7;930.0;103.0;103.0;146237.5;59.0;11160.0;7.631421489016155
Grenoble;Maison;10,9;1230.0;113.0;113.0;146237.5;59.0;14760.0;10.093170356440721
Grenoble;Maison;10,9;1250.0;116.0;98.0;146237.5;59.0;15000.0;10.25728694760236
Grenoble;Maison;10,6;1150.0;112.0;87.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Maison;11,2;1200.0;114.0;102.0;146237.49999999997;59.0;14400.0;9.846995469698266
Grenoble;Maison;11,1;1242.0;122.0;89.0;146237.5;59.0;14904.0;10.191640311137704
Grenoble;Maison;11,1;1185.0;112.0;72.0;146237.5;59.0;14220.0;9.723908026327036
Grenoble;Maison;11,2;1213.0;106.0;103.0;146237.5;59.0;14556.0;9.95367125395333
Grenoble;Maison;11,4;1250.0;116.0;85.0;146237.5;59.0;15000.0;10.25728694760236
Grenoble;Maison;11,4;1215.0;107.0;66.0;146237.5;59.0;14580.0;9.970082913069493
Grenoble;Maison;10,3;700.0;91.0;52.0;146237.5;59.0;8400.0;5.744080690657321
Grenoble;Maison;10,0;784.0;90.0;109.0;146237.49999999997;59.0;9408.0;6.433370373536201
Grenoble;Maison;9,7;930.0;103.0;103.0;146237.5;59.0;11160.0;7.631421489016155
Grenoble;Maison;10,6;1150.0;112.0;87.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Maison;11,2;1200.0;114.0;67.0;146237.49999999997;59.0;14400.0;9.846995469698266
Grenoble;Maison;11,2;1215.0;110.0;138.0;146237.5;59.0;14580.0;9.970082913069493
