Ville;Type_bien;loyer_median;loyer_mensuel_median;loyer_annuel;surface_moyenne;prix_m2_appartement;prix_achat_calc;rendement_%
Grenoble;Appartement;11,3;620.0;7440.0;59.0;2588;152692.0;4.872553899352946
Grenoble;Appartement;15,0;420.0;5040.0;29.0;2588;75052.0;6.715344028140489
Grenoble;Appartement;12,4;561.0;6732.0;46.0;2588;119048.0;5.654861904441906
Grenoble;Appartement;10,7;690.0;8280.0;65.0;2588;168220.0;4.922125787659018
Grenoble;Appartement;9,8;800.0;9600.0;89.0;2588;230332.0;4.16789677508987
Grenoble;Appartement;15,0;420.0;5040.0;29.0;2588;75052.0;6.715344028140489
Grenoble;Appartement;12,4;561.0;6732.0;46.0;2588;119048.0;5.654861904441906
Grenoble;Appartement;10,7;690.0;8280.0;65.0;2588;168220.0;4.922125787659018
Grenoble;Appartement;9,8;800.0;9600.0;89.0;2588;230332.0;4.16789677508987
Grenoble;Appartement;11,8;632.0;7584.0;59.0;2588;152692.0;4.966861394179132
Grenoble;Appartement;15,0;430.0;5160.0;29.0;2588;75052.0;6.875233171667644
Grenoble;Appartement;12,8;575.0;6900.0;45.0;2588;116460.0;5.92478104070067
Grenoble;Appartement;10,9;700.0;8400.0;65.0;2588;168220.0;4.993460944001902
Grenoble;Appartement;10,3;875.0;10500.0;91.0;2588;235508.0;4.45844727143027
Grenoble;Appartement;11,1;610.0;7320.0;59.0;2588;152692.0;4.793964320331124
Grenoble;Appartement;14,9;418.0;5016.0;29.0;2588;75052.0;6.683366199435059
Grenoble;Appartement;12,2;550.0;6600.0;46.0;2588;119048.0;5.5439822592567705
Grenoble;Appartement;10,6;680.0;8160.0;65.0;2588;168220.0;4.8507906313161335
Grenoble;Appartement;9,5;774.0;9288.0;88.0;2588;227744.0;4.078263313193761
Grenoble;Appartement;11,8;632.0;7584.0;59.0;2588;152692.0;4.966861394179132
Grenoble;Appartement;15,0;430.0;5160.0;29.0;2588;75052.0;6.875233171667644
Grenoble;Appartement;12,8;575.0;6900.0;45.0;2588;116460.0;5.92478104070067
Grenoble;Appartement;10,9;700.0;8400.0;65.0;2588;168220.0;4.993460944001902
Grenoble;Appartement;10,3;875.0;10500.0;91.0;2588;235508.0;4.45844727143027
Grenoble;Appartement;11,1;610.0;7320.0;59.0;2588;152692.0;4.793964320331124
Grenoble;Appartement;14,9;418.0;5016.0;29.0;2588;75052.0;6.683366199435059
Grenoble;Appartement;12,2;550.0;6600.0;46.0;2588;119048.0;5.5439822592567705
Grenoble;Appartement;10,6;680.0;8160.0;65.0;2588;168220.0;4.8507906313161335
Grenoble;Appartement;9,5;774.0;9288.0;88.0;2588;227744.0;4.078263313193761
Grenoble;Appartement;11,4;585.0;7020.0;59.0;2588;152692.0;4.59749037277657
Grenoble;Appartement;14,7;420.0;5040.0;29.0;2588;75052.0;6.715344028140489
Grenoble;Appartement;12,1;550.0;6600.0;46.0;2588;119048.0;5.5439822592567705
Grenoble;Appartement;10,2;678.0;8136.0;66.0;2588;170808.0;4.763242939440775
Grenoble;Appartement;9,6;900.0;10800.0;104.0;2588;269152.0;4.012602544287243
Grenoble;Appartement;11,8;600.0;7200.0;58.0;2588;150104.0;4.796674305814635
Grenoble;Appartement;11,1;569.0;6828.0;59.0;2588;152692.0;4.471747046341655
Grenoble;Appartement;10,8;600.0;7200.0;59.0;2588;152692.0;4.715374741309302
Grenoble;Appartement;14,7;420.0;5040.0;29.0;2588;75052.0;6.715344028140489
Grenoble;Appartement;12,0;544.0;6528.0;46.0;2588;119048.0;5.483502452792151
Grenoble;Appartement;10,5;631.0;7572.0;63.0;2588;163044.0;4.644145138735556
Grenoble;Appartement;9,5;710.0;8520.0;81.0;2588;209628.0;4.064342549659396
Grenoble;Appartement;11,2;610.0;7320.0;58.0;2588;150104.0;4.876618877578212
Grenoble;Appartement;10,5;594.0;7128.0;59.0;2588;152692.0;4.668220993896209
Grenoble;Appartement;11,0;622.0;7464.0;61.0;2588;157868.0;4.728000608102972
Grenoble;Appartement;15,0;420.0;5040.0;28.0;2588;72464.0;6.9551777434312205
Grenoble;Appartement;12,4;550.0;6600.0;46.0;2588;119048.0;5.5439822592567705
Grenoble;Appartement;10,2;677.0;8124.0;68.0;2588;175984.0;4.616328757159742
Grenoble;Appartement;9,4;780.0;9360.0;90.0;2588;232920.0;4.01854714064915
Grenoble;Appartement;11,2;640.0;7680.0;60.0;2588;155280.0;4.945904173106646
Grenoble;Appartement;10,9;616.0;7392.0;61.0;2588;157868.0;4.682392885195227
Grenoble;Appartement;12,1;657.0;7884.0;59.0;2588;152692.0;5.163335341733686
Grenoble;Appartement;17,7;395.0;4740.0;25.0;2588;64700.0;7.32612055641422
Grenoble;Appartement;12,6;595.0;7140.0;46.0;2588;119048.0;5.997580807741415
Grenoble;Appartement;11,1;750.0;9000.0;68.0;2588;175984.0;5.114101281934722
Grenoble;Appartement;10,5;980.0;11760.0;95.0;2588;245860.0;4.783209956886033
Grenoble;Appartement;12,2;690.0;8280.0;60.0;2588;155280.0;5.332302936630603
Grenoble;Appartement;12,0;650.0;7800.0;58.0;2588;150104.0;5.196397164632521
Grenoble;Appartement;12,2;700.0;8400.0;60.0;2588;155280.0;5.4095826893353935
Grenoble;Appartement;13,7;472.0;5664.0;33.0;2588;85404.0;6.632007868483912
Grenoble;Appartement;13,1;596.0;7152.0;45.0;2588;116460.0;6.141164348274086
Grenoble;Appartement;11,6;753.0;9036.0;66.0;2588;170808.0;5.290150344246171
Grenoble;Appartement;10,5;880.0;10560.0;88.0;2588;227744.0;4.636785162287481
Grenoble;Appartement;12,6;700.0;8400.0;58.0;2588;150104.0;5.596120023450408
Grenoble;Appartement;12,0;700.0;8400.0;60.0;2588;155280.0;5.4095826893353935
Grenoble;Appartement;11,4;585.0;7020.0;59.0;2588;152692.0;4.59749037277657
Grenoble;Appartement;14,7;420.0;5040.0;29.0;2588;75052.0;6.715344028140489
Grenoble;Appartement;12,1;550.0;6600.0;46.0;2588;119048.0;5.5439822592567705
Grenoble;Appartement;10,2;678.0;8136.0;66.0;2588;170808.0;4.763242939440775
Grenoble;Appartement;9,6;900.0;10800.0;104.0;2588;269152.0;4.012602544287243
Grenoble;Appartement;11,8;600.0;7200.0;58.0;2588;150104.0;4.796674305814635
Grenoble;Appartement;11,1;569.0;6828.0;59.0;2588;152692.0;4.471747046341655
Grenoble;Appartement;10,8;600.0;7200.0;59.0;2588;152692.0;4.715374741309302
Grenoble;Appartement;14,7;420.0;5040.0;29.0;2588;75052.0;6.715344028140489
Grenoble;Appartement;12,0;544.0;6528.0;46.0;2588;119048.0;5.483502452792151
Grenoble;Appartement;10,5;631.0;7572.0;63.0;2588;163044.0;4.644145138735556
Grenoble;Appartement;9,5;710.0;8520.0;81.0;2588;209628.0;4.064342549659396
Grenoble;Appartement;11,2;610.0;7320.0;58.0;2588;150104.0;4.876618877578212
Grenoble;Appartement;10,5;594.0;7128.0;59.0;2588;152692.0;4.668220993896209
Grenoble;Appartement;11,0;622.0;7464.0;61.0;2588;157868.0;4.728000608102972
Grenoble;Appartement;15,0;420.0;5040.0;28.0;2588;72464.0;6.9551777434312205
Grenoble;Appartement;12,4;550.0;6600.0;46.0;2588;119048.0;5.5439822592567705
Grenoble;Appartement;10,2;677.0;8124.0;68.0;2588;175984.0;4.616328757159742
Grenoble;Appartement;9,4;780.0;9360.0;90.0;2588;232920.0;4.01854714064915
Grenoble;Appartement;11,2;640.0;7680.0;60.0;2588;155280.0;4.945904173106646
Grenoble;Appartement;10,9;616.0;7392.0;61.0;2588;157868.0;4.682392885195227
Grenoble;Appartement;12,2;685.0;8220.0;59.0;2588;152692.0;5.383386162994787
Grenoble;Appartement;15,9;437.0;5244.0;28.0;2588;72464.0;7.236696842570104
Grenoble;Appartement;13,0;596.0;7152.0;46.0;2588;119048.0;6.007660775485518
Grenoble;Appartement;11,4;752.0;9024.0;67.0;2588;173396.0;5.204272301552516
Grenoble;Appartement;10,5;920.0;11040.0;92.0;2588;238096.0;4.636785162287481
Grenoble;Appartement;12,5;692.0;8304.0;59.0;2588;152692.0;5.4383988683100615
Grenoble;Appartement;12,0;680.0;8160.0;60.0;2588;155280.0;5.255023183925812
Grenoble;Appartement;11,7;606.0;7272.0;56.0;2588;144928.0;5.017663943475381
Grenoble;Appartement;15,5;420.0;5040.0;28.0;2588;72464.0;6.9551777434312205
Grenoble;Appartement;12,4;570.0;6840.0;46.0;2588;119048.0;5.7455816141388345
Grenoble;Appartement;10,8;700.0;8400.0;66.0;2588;170808.0;4.917802444850358
Grenoble;Appartement;10,0;842.0;10104.0;90.0;2588;232920.0;4.337970118495621
Grenoble;Appartement;15,5;420.0;5040.0;28.0;2588;72464.0;6.9551777434312205
Grenoble;Appartement;12,4;570.0;6840.0;46.0;2588;119048.0;5.7455816141388345
Grenoble;Appartement;10,8;700.0;8400.0;66.0;2588;170808.0;4.917802444850358
Grenoble;Appartement;10,0;842.0;10104.0;90.0;2588;232920.0;4.337970118495621
Grenoble;Appartement;12,0;625.0;7500.0;57.0;2588;147516.0;5.084194256894167
Grenoble;Appartement;15,6;430.0;5160.0;27.0;2588;69876.0;7.3845097029022835
Grenoble;Appartement;12,7;582.0;6984.0;46.0;2588;119048.0;5.8665412270680735
Grenoble;Appartement;11,0;727.0;8724.0;66.0;2588;170808.0;5.107489110580301
Grenoble;Appartement;10,4;900.0;10800.0;91.0;2588;235508.0;4.585831479185421
Grenoble;Appartement;11,5;600.0;7200.0;56.0;2588;144928.0;4.967984102450872
Grenoble;Appartement;15,4;415.0;4980.0;28.0;2588;72464.0;6.872378008390373
Grenoble;Appartement;12,2;558.0;6696.0;47.0;2588;121636.0;5.504949192673222
Grenoble;Appartement;10,6;690.0;8280.0;66.0;2588;170808.0;4.84754812420964
Grenoble;Appartement;9,6;800.0;9600.0;88.0;2588;227744.0;4.215259238443164
Grenoble;Appartement;12,0;625.0;7500.0;57.0;2588;147516.0;5.084194256894167
