Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B3100;2024;L3100;;;;;;;;;;9;10,3;11,7;13,5;16,5;11,4;440;505;610;750;950;666;59;30112;170081;Estimation directe
B3100;2024;L3100;;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;;;
B3100;2024;L3100;;;;;;;;;Ensemble 4P+;7,4;8,9;10;11;12,3;10;650;784;900;1070;1250;966;97;3600;36334;Estimation directe
B3100;2024;L3100;;;;;;;;;Maison 4P+;7,4;9;10,1;10,9;12;9,9;776;857;950;1130;1300;1048;106;1294;19569;Estimation directe
B3100;2024;L3100;;;;;;;;;Appart 1P;12,7;14,2;16,6;19,2;22,7;16,3;360;400;440;490;535;446;27;4404;24511;Estimation directe
B3100;2024;L3100;;;;;;;;;Appart 2P;10,4;11,5;12,6;13,9;15,6;12,6;450;498;535;581;645;545;43;12011;56871;Estimation directe
B3100;2024;L3100;;;;;;;;;Appart 3P;8,9;10;10,9;11,8;12,9;10,9;567;625;680;743;829;692;64;9587;45742;Estimation directe
B3100;2024;L3100;;;;;;;;;Appart 4P+;7,4;8,7;9,9;11,1;12,6;10;600;699;830;991;1230;873;87;2306;16765;Estimation directe
B3100;2024;L3100;;;;;;;;;Ensemble 1P;12,7;14,2;16,6;19,2;22,7;16,3;360;400;440;490;535;446;27;4405;24778;Estimation directe
B3100;2024;L3100;;;;;;;;;Ensemble 2P;10,4;11,4;12,6;13,9;15,6;12,6;450;497;535;584;650;546;43;12063;57981;Estimation directe
B3100;2024;L3100;;;;;;;;;Ensemble 3P;8,9;10;10,9;11,8;12,9;10,9;570;630;684;750;841;699;64;10044;50989;Estimation directe
B3100;2024;L3100;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;;;;
B3100;2024;L3100;;;;;;;;Ensemble 4P+;;7,4;8,9;10;11;12,3;10;650;784;900;1070;1250;966;97;3600;36334;Estimation directe
B3100;2024;L3100;;;;;;;;Maison 4P+;;7,4;9;10,1;10,9;12;9,9;776;857;950;1130;1300;1048;106;1294;19569;Estimation directe
B3100;2024;L3100;;;;;;;;Appart 1P;;12,7;14,2;16,6;19,2;22,7;16,3;360;400;440;490;535;446;27;4404;24511;Estimation directe
B3100;2024;L3100;;;;;;;;Appart 2P;;10,4;11,5;12,6;13,9;15,6;12,6;450;498;535;581;645;545;43;12011;56871;Estimation directe
B3100;2024;L3100;;;;;;;;Appart 3P;;8,9;10;10,9;11,8;12,9;10,9;567;625;680;743;829;692;64;9587;45742;Estimation directe
B3100;2024;L3100;;;;;;;;Appart 4P+;;7,4;8,7;9,9;11,1;12,6;10;600;699;830;991;1230;873;87;2306;16765;Estimation directe
B3100;2024;L3100;;;;;;;;Ensemble 1P;;12,7;14,2;16,6;19,2;22,7;16,3;360;400;440;490;535;446;27;4405;24778;Estimation directe
B3100;2024;L3100;;;;;;;;Ensemble 2P;;10,4;11,4;12,6;13,9;15,6;12,6;450;497;535;584;650;546;43;12063;57981;Estimation directe
B3100;2024;L3100;;;;;;;;Ensemble 3P;;8,9;10;10,9;11,8;12,9;10,9;570;630;684;750;841;699;64;10044;50989;Estimation directe
B3100;2024;L3100;;;;;;;1. Moins de 1 an;;;9,6;10,5;12;14,2;17,6;11,8;440;500;610;758;963;664;56;9812;;Estimation directe
B3100;2024;L3100;;;;;;;1. Moins de 1 an;;Ensemble 4P+;8,4;9,6;10,3;11,1;12,5;10,3;675;804;940;1138;1344;981;96;941;;Estimation directe
B3100;2024;L3100;;;;;;;1. Moins de 1 an;;Ensemble 1P;13,1;14,8;17,1;19,6;23,9;17;360;408;443;490;530;449;26;1829;;Estimation directe
B3100;2024;L3100;;;;;;;1. Moins de 1 an;;Ensemble 2P;10,6;11,7;12,7;14,1;16,1;12,9;457;500;535;589;657;551;43;3945;;Estimation directe
B3100;2024;L3100;;;;;;;1. Moins de 1 an;;Ensemble 3P;9,4;10,2;11;12,1;13,7;11,2;597;644;700;776;848;719;64;3097;;Estimation directe
B3100;2024;L3100;;;;;;;2. 1 an et plus;;;8,8;10,2;11,5;13,3;15,9;11,2;440;507;610;749;945;667;60;20300;;Estimation directe
B3100;2024;L3100;;;;;;;2. 1 an et plus;;Ensemble 4P+;;;;;;;;;;;;;;2659;;
B3100;2024;L3100;;;;;;;2. 1 an et plus;;Ensemble 1P;;;;;;;;;;;;;;2576;;
B3100;2024;L3100;;;;;;;2. 1 an et plus;;Ensemble 2P;;;;;;;;;;;;;;8118;;
B3100;2024;L3100;;;;;;;2. 1 an et plus;;Ensemble 3P;;;;;;;;;;;;;;6947;;
B3100;2024;L3100;;;;;;1. Moins de 1 an;;;;9,6;10,5;12;14,2;17,6;11,8;440;500;610;758;963;664;56;9812;;Estimation directe
B3100;2024;L3100;;;;;;1. Moins de 1 an;;Ensemble 4P+;;8,4;9,6;10,3;11,1;12,5;10,3;675;804;940;1138;1344;981;96;941;;Estimation directe
