Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B6900;2024;L6900;;;;;;;;;;9,2;10,8;12,7;15,0;17,5;12,3;490;580;703;880;1100;762;62;30143;209867;Estimation directe
B6900;2024;L6900;;;;;;;;;Maison 1-3P;;;;;;;;;;;;;;203;;
B6900;2024;L6900;;;;;;;;;Ensemble 4P+;7,6;9,4;11,0;12,6;14,5;11,0;665;800;990;1220;1499;1046;95;4826;48182;Estimation directe
B6900;2024;L6900;;;;;;;;;Maison 4P+;;;;;;;;;;;;;;489;;
B6900;2024;L6900;;;;;;;;;Appart 1P;12,4;14,5;16,9;20,0;23,5;16,7;380;445;500;566;654;513;31;5078;28568;Estimation directe
B6900;2024;L6900;;;;;;;;;Appart 2P;10,7;12,3;14,0;15,6;17,1;13,7;500;560;632;709;800;642;47;10674;66737;Estimation directe
B6900;2024;L6900;;;;;;;;;Appart 3P;9,1;10,5;11,9;13,3;14,6;11,9;600;680;787;892;1014;796;67;9362;61930;Estimation directe
B6900;2024;L6900;;;;;;;;;Appart 4P+;7,6;9,6;11,0;12,6;14,4;11,1;650;770;945;1201;1458;1021;92;4337;36733;Estimation directe
B6900;2024;L6900;;;;;;;;;Ensemble 1P;12,2;14,4;16,9;20,0;23,8;16,6;380;449;500;570;670;519;31;5088;28808;Estimation directe
B6900;2024;L6900;;;;;;;;;Ensemble 2P;10,6;12,3;14,0;15,6;17,1;13,7;500;560;630;707;800;641;47;10730;67798;Estimation directe
B6900;2024;L6900;;;;;;;;;Ensemble 3P;9,0;10,4;11,9;13,3;14,7;11,8;600;678;789;894;1017;797;68;9499;65079;Estimation directe
B6900;2024;L6900;;;;;;;;Maison;;7,3;9,0;11,1;12,6;15,3;10,8;580;750;998;1150;1417;991;92;692;15898;Estimation directe
B6900;2024;L6900;;;;;;;;Appart 1P;;12,4;14,5;16,9;20,0;23,5;16,7;380;445;500;566;654;513;31;5078;28568;Estimation directe
B6900;2024;L6900;;;;;;;;Appart 2P;;10,7;12,3;14,0;15,6;17,1;13,7;500;560;632;709;800;642;47;10674;66737;Estimation directe
B6900;2024;L6900;;;;;;;;Appart 3P;;9,1;10,5;11,9;13,3;14,6;11,9;600;680;787;892;1014;796;67;9362;61930;Estimation directe
B6900;2024;L6900;;;;;;;;Appart 4P+;;7,6;9,6;11,0;12,6;14,4;11,1;650;770;945;1201;1458;1021;92;4337;36733;Estimation directe
B6900;2024;L6900;;;;;;;;Ensemble 1P;;12,2;14,4;16,9;20,0;23,8;16,6;380;449;500;570;670;519;31;5088;28808;Estimation directe
B6900;2024;L6900;;;;;;;;Ensemble 2P;;10,6;12,3;14,0;15,6;17,1;13,7;500;560;630;707;800;641;47;10730;67798;Estimation directe
B6900;2024;L6900;;;;;;;;Ensemble 3P;;9,0;10,4;11,9;13,3;14,7;11,8;600;678;789;894;1017;797;68;9499;65079;Estimation directe
B6900;2024;L6900;;;;;;;;Ensemble 4P+;;7,6;9,4;11,0;12,6;14,5;11,0;665;800;990;1220;1499;1046;95;4826;48182;Estimation directe
B6900;2024;L6900;;;;;;;1. Moins de 1 an;;;10,1;11,8;13,8;16,0;19,0;13,3;500;598;734;913;1150;793;59;10023;;Estimation directe
B6900;2024;L6900;;;;;;;1. Moins de 1 an;;Ensemble 4P+;8,1;10,2;11,8;13,9;15,7;11,8;740;905;1093;1364;1660;1175;99;1186;;Estimation directe
B6900;2024;L6900;;;;;;;1. Moins de 1 an;;Ensemble 1P;13,1;15,4;18,2;21,0;26,2;18,0;380;450;520;600;730;540;30;2173;;Estimation directe
B6900;2024;L6900;;;;;;;1. Moins de 1 an;;Ensemble 2P;11,8;13,2;14,7;16,2;18,0;14,6;530;585;670;750;838;676;46;3738;;Estimation directe
B6900;2024;L6900;;;;;;;1. Moins de 1 an;;Ensemble 3P;9,6;11,2;12,5;14,0;15,4;12,5;642;723;820;930;1080;839;67;2926;;Estimation directe
B6900;2024;L6900;;;;;;;2. 1 an et plus;;;9,0;10,5;12,4;14,4;16,7;11,9;482;573;699;869;1089;749;63;20120;;Estimation directe
B6900;2024;L6900;;;;;;;2. 1 an et plus;;Ensemble 4P+;7,3;9,2;10,8;12,3;14,0;10,7;627;786;959;1180;1387;1007;94;3640;;Estimation directe
B6900;2024;L6900;;;;;;;2. 1 an et plus;;Ensemble 1P;11,6;13,9;16,3;19,2;22,8;15,9;378;443;495;550;635;508;32;2915;;Estimation directe
B6900;2024;L6900;;;;;;;2. 1 an et plus;;Ensemble 2P;10,5;11,9;13,6;15,1;16,7;13,3;500;554;620;693;775;627;47;6992;;Estimation directe
B6900;2024;L6900;;;;;;;2. 1 an et plus;;Ensemble 3P;8,8;10,0;11,6;13,0;14,3;11,5;590;661;768;873;1000;781;68;6573;;Estimation directe
